Date,HH,MM,SS,Fc5.[uV],Fc3.[uV],Fc1.[uV],Fcz.[uV],Fc2.[uV],Fc4.[uV],Fc6.[uV],C5..[uV],C3..[uV],C1..[uV],Cz..[uV],C2..[uV],C4..[uV],C6..[uV],Cp5.[uV],Cp3.[uV],Cp1.[uV],Cpz.[uV],Cp2.[uV],Cp4.[uV],Cp6.[uV],Fp1.[uV],Fpz.[uV],Fp2.[uV],Af7.[uV],Af3.[uV],Afz.[uV],Af4.[uV],Af8.[uV],F7..[uV],F5..[uV],F3..[uV],F1..[uV],Fz..[uV],F2..[uV],F4..[uV],F6..[uV],F8..[uV],Ft7.[uV],Ft8.[uV],T7..[uV],T8..[uV],T9..[uV],T10.[uV],Tp7.[uV],Tp8.[uV],P7..[uV],P5..[uV],P3..[uV],P1..[uV],Pz..[uV],P2..[uV],P4..[uV],P6..[uV],P8..[uV],Po7.[uV],Po3.[uV],Poz.[uV],Po4.[uV],Po8.[uV],O1..[uV],Oz..[uV],O2..[uV],Iz..[uV]
12/08/2009,16,15,0,-16,-29,2,22,-12,-23,-46,-36,-26,-18,-4,-4,-20,-22,-33,-39,-23,-12,-16,-27,-25,-49,-44,-29,-73,-67,-41,-39,-62,-39,-42,-16,-36,-38,-46,-60,-69,-25,-47,-80,-71,-32,-52,1,-58,-30,-56,-43,-12,-18,-31,-26,-37,-33,-30,-56,-52,-35,-22,-33,-53,-21,-11,15
12/08/2009,16,15,0.00625,-56,-54,-27,-4,-31,-36,-56,-75,-55,-43,-26,-23,-28,-22,-45,-54,-40,-25,-24,-32,-24,-28,-52,-39,-67,-65,-48,-48,-68,-47,-34,-15,-44,-45,-49,-63,-69,-24,-74,-70,-65,-21,-49,-4,-36,-26,-37,-27,4,-6,-21,-15,-25,-20,-20,-35,-29,-18,-3,-9,-53,-12,1,21
12/08/2009,16,15,0.0125,-55,-55,-29,-5,-29,-34,-52,-53,-42,-35,-21,-16,-19,-11,-16,-35,-22,-11,-13,-24,-16,-52,-57,-46,-76,-74,-54,-51,-76,-39,-53,-17,-51,-50,-51,-66,-71,-18,-69,-60,-49,14,-50,-31,-42,-26,-37,-7,24,10,-7,-3,-19,-14,-20,-23,-12,-6,4,-7,-45,2,18,35
12/08/2009,16,15,0.01875,-50,-44,-13,13,-16,-25,-45,-44,-21,-11,4,-3,-8,5,-6,-12,3,10,6,-10,-3,-73,-67,-51,-81,-76,-47,-54,-81,-36,-43,-10,-31,-33,-37,-52,-62,-22,-52,-54,-42,-2,-31,-27,-33,-41,-32,5,45,32,16,16,-1,-5,-16,-12,4,14,20,7,-29,16,35,47
12/08/2009,16,15,0.025,-36,-28,13,42,9,-10,-46,-34,-12,8,26,14,-4,-12,-3,-3,15,24,22,0,-8,-62,-69,-51,-79,-72,-39,-52,-82,-37,-35,3,-21,-25,-28,-45,-58,-33,-60,-73,-40,-50,-56,6,-30,-21,-30,6,46,37,23,22,8,1,-9,-7,6,20,24,6,-13,29,40,50
12/08/2009,16,15,0.03125,-45,-29,12,50,13,-7,-43,-44,-15,7,25,20,3,-17,-10,-7,15,27,27,8,-2,-82,-83,-70,-87,-82,-41,-49,-86,-45,-36,2,-17,-21,-26,-40,-53,-37,-63,-69,-20,-22,-45,-6,-35,-5,-27,5,38,35,25,27,15,5,-8,-1,11,25,23,-4,-3,30,29,39
12/08/2009,16,15,0.0375,-27,-11,25,54,17,-3,-33,-21,-2,20,32,25,16,0,5,8,30,37,35,23,16,-70,-71,-60,-78,-74,-32,-43,-98,-35,-24,15,-2,-12,-19,-31,-39,-33,-23,-62,-9,-19,-82,-11,-30,-5,-6,24,57,51,38,41,25,21,12,20,30,41,41,29,10,39,33,46
12/08/2009,16,15,0.04375,-4,-4,22,46,18,4,-26,3,8,22,34,32,17,3,20,16,32,39,36,24,16,-66,-71,-55,-70,-68,-37,-44,-64,-30,-37,16,-16,-21,-21,-34,-33,-12,-45,-51,-89,-14,-71,-10,-34,12,-2,26,61,50,35,37,24,24,26,20,29,36,39,31,21,48,45,59
12/08/2009,16,15,0.05,-38,-20,16,52,28,8,-15,-35,-1,15,32,35,6,5,2,3,24,34,27,12,7,-51,-60,-45,-64,-59,-22,-17,-43,-20,-32,21,-7,1,-2,-17,-10,23,-58,-30,-41,43,4,-39,-9,-5,11,25,54,46,28,25,8,4,-3,36,37,36,22,5,22,44,44,60
12/08/2009,16,15,0.05625,-21,-8,39,81,52,31,8,-26,6,27,41,40,5,17,6,9,33,35,26,-1,-1,-21,-23,-7,-35,-31,10,8,-22,17,3,48,15,23,21,2,10,34,-17,-20,8,51,17,-7,4,-28,15,31,56,48,21,12,-9,-12,-21,42,38,32,12,-4,25,42,40,64
12/08/2009,16,15,0.0625,-4,-9,28,65,40,23,3,-18,-5,8,19,18,-16,-6,4,-7,12,5,-3,-30,-31,-42,-31,-21,-40,-36,2,-4,-34,6,-2,34,2,8,11,-10,-1,27,-31,-41,-14,-35,-40,-4,-5,-44,-3,7,29,17,-7,-20,-40,-33,-31,15,10,-1,-16,-23,14,26,16,53
12/08/2009,16,15,0.06875,-15,-11,20,53,29,9,-17,-28,-13,-1,7,1,-26,-24,-1,-12,1,-7,-21,-42,-39,-35,-30,-28,-20,-16,8,-1,-40,20,25,42,23,26,22,4,6,26,-3,-50,16,-49,-8,-14,7,-11,8,20,43,24,4,-10,-29,-17,-12,26,23,12,3,1,2,18,5,53
12/08/2009,16,15,0.075,26,21,49,73,51,35,8,14,21,25,29,24,10,-1,34,23,30,24,14,-3,-1,-7,-11,-8,1,3,31,26,-26,30,49,70,41,42,43,23,30,36,32,-25,24,1,24,3,13,30,27,48,72,61,44,36,20,28,29,44,48,44,43,34,7,34,31,69
12/08/2009,16,15,0.08125,42,29,53,83,62,54,26,44,41,37,49,54,48,38,59,44,52,50,52,39,41,4,-8,-4,1,3,33,34,-28,52,35,71,35,42,49,30,40,37,23,-2,-4,62,25,2,36,34,36,60,80,76,58,55,42,46,36,49,52,54,58,43,21,53,68,68
12/08/2009,16,15,0.0875,32,26,54,91,71,69,44,36,42,43,57,67,68,70,61,45,54,57,67,59,64,-10,-21,-6,-8,-5,36,33,-23,48,33,79,40,51,58,37,49,41,20,14,51,79,25,-20,48,37,43,58,76,74,61,57,50,48,27,37,41,45,54,25,25,53,76,46
12/08/2009,16,15,0.09375,25,15,53,91,72,70,43,20,29,35,54,63,61,61,39,27,42,45,58,51,53,-41,-26,-6,-29,-25,23,23,-2,19,8,62,23,36,43,18,25,29,-3,-13,-9,13,-3,15,15,8,12,28,50,46,40,42,35,32,10,22,17,27,41,15,12,37,59,33
12/08/2009,16,15,0.1,-14,-18,31,75,51,49,19,-24,2,15,41,46,44,36,11,4,25,32,49,44,44,-44,-30,-11,-42,-40,8,10,-22,-3,-13,34,4,19,26,0,7,11,-47,-26,-24,5,2,5,-6,25,-13,10,37,36,34,43,38,35,18,7,6,24,45,23,-7,22,45,27
12/08/2009,16,15,0.10625,-36,-30,18,62,33,32,2,-33,-4,4,28,28,34,33,13,1,14,26,41,40,43,-43,-39,-23,-55,-53,-5,-5,-40,1,-31,23,-10,7,12,-17,-8,-10,-32,-32,-6,36,-21,-9,-10,5,-17,9,35,38,29,36,27,22,4,1,3,18,31,5,-19,12,40,14
12/08/2009,16,15,0.1125,-27,-39,-7,25,1,2,-22,-39,-21,-18,-1,-7,-4,8,-16,-16,-7,1,9,3,8,-43,-56,-48,-56,-56,-35,-40,-67,-5,-47,-12,-42,-34,-27,-50,-45,-53,-42,-61,-39,-7,-48,-11,-22,-27,-26,-9,17,20,6,8,-2,-5,-17,0,0,4,10,-10,-23,2,32,-2
12/08/2009,16,15,0.11875,-37,-46,-20,5,-17,-21,-39,-51,-33,-17,-3,-7,-21,-6,-16,-14,-1,6,6,-6,-1,-50,-46,-34,-51,-50,-30,-36,-64,0,-34,-7,-25,-21,-20,-40,-37,-35,-45,-54,-31,5,-14,-11,-6,-4,0,20,43,42,27,24,14,12,5,25,28,25,28,13,-7,7,32,2
12/08/2009,16,15,0.125,-18,-14,14,39,14,7,-19,-14,3,12,23,21,-2,4,30,15,27,31,27,13,15,-29,-33,-23,-33,-31,-7,-17,-55,4,-3,24,-1,4,6,-16,-15,-7,-24,-40,-16,-8,-11,-20,1,24,18,35,55,52,40,40,30,33,28,24,33,27,42,27,10,18,40,19
12/08/2009,16,15,0.13125,-4,-3,21,48,28,22,-6,-21,7,17,25,25,3,5,4,10,25,28,27,16,19,-43,-32,-15,-46,-44,-6,-9,-54,-12,0,23,-5,4,10,-13,-5,-7,-18,-46,-37,-24,-31,12,-20,18,-11,11,36,35,27,31,21,27,26,10,18,20,35,23,10,22,39,33
12/08/2009,16,15,0.1375,-21,-16,18,49,28,22,-10,-36,-2,13,24,21,5,2,-2,10,21,26,28,15,16,-52,-35,-22,-48,-46,-2,-8,-43,-7,-25,27,4,15,16,-6,-1,-2,-51,-46,-31,-12,-27,12,4,14,4,25,50,48,39,36,26,25,22,29,36,37,40,25,14,29,42,51
12/08/2009,16,15,0.14375,-26,-11,29,59,37,32,-2,-26,7,17,29,32,12,10,14,18,27,31,33,16,16,-32,-24,-8,-31,-29,9,7,-11,16,-9,41,18,23,24,3,4,-1,-30,-37,-4,5,-8,6,-24,4,-1,30,53,54,40,33,24,20,7,25,33,35,34,19,20,30,43,56
12/08/2009,16,15,0.15,0,3,34,59,34,32,1,3,12,18,25,26,8,2,9,15,20,22,21,2,-1,-33,-31,-24,-32,-29,9,-1,-26,13,-4,37,19,25,25,4,-2,-15,-14,-36,-62,34,-42,-34,-46,-17,-12,18,39,39,22,10,-1,-3,-14,14,23,17,10,-8,12,14,26,31
12/08/2009,16,15,0.15625,-1,6,37,70,39,32,7,-2,14,20,22,16,4,13,20,23,22,18,11,-11,-6,-48,-34,-25,-30,-26,19,12,-33,11,-2,54,27,37,38,18,17,5,-11,-23,-24,52,-42,-16,20,-12,33,52,62,56,31,10,-4,-1,-4,46,49,29,14,4,17,12,17,28
12/08/2009,16,15,0.1625,7,11,36,66,39,33,7,8,30,18,13,5,-4,7,50,32,27,15,-1,-23,-16,-32,-27,-13,-19,-16,12,9,-25,-1,8,42,12,19,23,6,7,2,-23,-39,-13,-15,-10,-3,25,-10,39,49,60,46,20,1,-16,-8,-5,33,34,15,4,-4,17,13,9,30
12/08/2009,16,15,0.16875,-8,-12,13,34,15,13,-16,-7,11,1,-4,-6,-14,-13,34,20,14,4,-11,-23,-18,-49,-48,-31,-65,-61,-11,-12,-37,-14,-28,16,-14,-4,3,-16,-8,-15,-34,-44,-27,-40,-1,-10,8,-7,26,37,44,41,18,12,2,7,2,30,30,23,25,16,11,14,7,31
12/08/2009,16,15,0.175,-32,-40,-14,12,-5,3,-19,-25,-21,-20,-17,-11,-9,-8,20,-1,0,-1,1,-5,-1,-77,-60,-39,-82,-79,-35,-23,-45,-5,-55,-1,-43,-32,-21,-37,-13,-13,-46,-37,-7,-6,-13,22,0,26,16,34,41,43,27,36,33,36,26,40,34,40,50,42,14,29,27,64
12/08/2009,16,15,0.18125,-39,-63,-39,-10,-15,1,-11,-30,-43,-34,-24,-11,7,16,18,-11,-6,0,13,16,26,-93,-55,-30,-68,-67,-42,-25,-44,3,-48,-14,-51,-45,-31,-42,-17,-8,-22,-36,5,26,-32,10,-6,17,6,16,18,22,11,20,19,22,5,11,1,5,20,4,6,22,21,59
12/08/2009,16,15,0.1875,-37,-70,-48,-18,-27,-14,-24,-42,-57,-48,-42,-24,-4,12,-15,-37,-31,-23,-10,1,15,-83,-69,-60,-71,-69,-45,-42,-81,-12,-45,-18,-47,-43,-34,-46,-34,-28,-53,-50,-55,11,-37,-3,-31,5,-36,-18,-7,-5,-11,2,4,12,-1,-33,-31,-23,1,-13,-31,-20,-20,3
12/08/2009,16,15,0.19375,-41,-53,-33,-9,-25,-13,-29,-42,-44,-41,-39,-17,-3,18,-17,-35,-28,-22,-3,5,25,-62,-62,-56,-50,-50,-31,-36,-72,-1,-18,0,-23,-27,-20,-31,-27,-21,-37,-36,-18,34,-40,7,-21,20,-24,0,11,12,7,17,19,24,7,-15,-11,-8,13,2,-53,-41,-41,-25
12/08/2009,16,15,0.2,7,2,6,13,-4,6,-4,16,8,1,-8,4,14,35,27,7,11,12,24,25,39,-14,-25,-20,-3,-2,3,-11,-20,41,19,31,20,7,8,3,6,-2,18,-11,7,41,-20,4,10,27,2,24,35,33,25,30,32,34,18,1,5,1,22,9,-45,-33,-36,-13
12/08/2009,16,15,0.20625,29,18,25,30,6,13,7,13,18,12,4,0,11,35,25,12,18,16,19,17,32,-33,-30,-24,-39,-34,-12,-16,-44,17,-3,14,-5,-15,-13,-23,-18,-27,-22,-27,-42,0,-13,-13,-10,27,-12,-1,11,10,4,12,12,18,9,-27,-26,-23,3,-6,-40,-31,-28,2
12/08/2009,16,15,0.2125,-25,-29,-14,-9,-31,-19,-21,-31,-7,-13,-17,-23,-16,7,5,-9,-5,-6,-6,-8,10,-60,-58,-40,-59,-59,-34,-29,-48,-6,-23,-2,-25,-34,-27,-33,-13,-17,-54,-29,-57,21,-29,18,-31,23,-40,-16,-4,1,-8,-2,-2,6,3,-43,-40,-36,-12,-22,-51,-45,-37,-11
12/08/2009,16,15,0.21875,-17,-16,-4,-2,-8,12,6,-21,0,-3,-6,-4,1,21,-10,-12,-2,-3,2,-2,16,-25,-30,-13,-29,-29,-11,-6,-28,17,-15,19,-6,-12,-2,-10,16,-3,-26,-12,-2,17,-26,21,-24,20,-53,-24,-3,1,-5,-3,-5,-2,-5,-45,-34,-32,-18,-34,-64,-59,-53,-32
12/08/2009,16,15,0.225,0,-10,6,16,13,23,5,-4,1,2,4,10,10,16,-13,-7,6,6,15,6,12,-55,-31,-13,-34,-32,-8,1,-24,12,-12,31,-2,-5,8,-4,16,-12,-23,-11,-32,14,-34,6,-31,17,-33,-5,15,16,9,6,0,-2,-9,-24,-15,-18,-15,-31,-56,-51,-52,-24
12/08/2009,16,15,0.23125,-11,-15,7,21,21,20,-1,-26,-11,0,7,12,7,2,-15,-17,1,5,13,4,4,-58,-44,-34,-41,-40,-9,-4,-46,3,-18,26,-3,-3,9,-4,9,-40,-35,-26,-32,-3,-39,-1,-32,-10,-39,-16,2,5,-2,-3,-7,-10,-23,-21,-20,-24,-21,-30,-44,-42,-45,-14
12/08/2009,16,15,0.2375,-29,-23,9,31,29,30,4,-38,-21,-2,15,22,18,13,-18,-17,0,11,23,16,16,-37,-23,-15,-43,-40,2,13,-27,5,-13,36,3,4,19,7,23,-32,-20,-8,-21,51,-32,-3,-32,13,-21,8,30,27,22,17,16,14,1,8,13,2,3,-6,-26,-26,-26,2
12/08/2009,16,15,0.24375,-4,-10,13,36,33,40,16,3,1,7,19,30,31,35,14,12,17,22,33,25,30,-26,-23,-13,-31,-29,-4,9,-9,14,-6,32,-3,-4,8,-2,14,-34,-3,-12,-24,42,-33,10,-10,16,12,31,49,35,17,10,9,10,-2,13,17,-5,-2,-12,-12,-16,-10,20
12/08/2009,16,15,0.25,1,-9,3,22,17,26,2,15,8,5,-1,-3,4,12,32,17,15,7,6,-7,2,-55,-40,-24,-52,-49,-13,-2,-27,-8,-24,20,-13,-8,3,-5,6,-53,-21,-36,-36,-37,-27,-22,11,-4,15,29,43,27,1,-11,-13,-9,-13,14,15,-15,-17,-22,-12,-23,-12,11
12/08/2009,16,15,0.25625,-12,-6,12,28,23,29,-1,3,13,12,4,6,-3,-2,40,27,24,13,5,-11,-1,-36,-15,6,-36,-36,10,18,-10,4,1,44,10,12,26,16,26,-50,-14,-23,1,-6,-2,-10,27,23,32,55,72,58,29,14,7,11,5,48,46,20,9,11,-1,-11,11,18
12/08/2009,16,15,0.2625,2,9,30,48,34,36,8,18,25,27,19,24,8,11,52,45,40,30,20,2,9,-21,-6,7,-22,-22,11,18,-12,31,-10,41,13,12,23,11,17,-64,-7,-26,-7,-1,3,19,16,11,26,46,60,56,27,15,6,6,2,28,28,14,6,2,7,4,31,34
12/08/2009,16,15,0.26875,-6,-13,13,35,18,17,-11,-4,-6,5,5,1,-6,-4,22,13,17,15,9,-6,-3,-37,-21,-14,-34,-34,-11,-4,-33,15,-24,13,-15,-14,-2,-12,-6,-79,-36,-37,-40,5,-18,-24,-27,7,-17,-1,15,23,-1,-6,-12,-6,-7,-15,-14,-15,-15,-22,-14,-11,7,11
12/08/2009,16,15,0.275,-32,-42,-15,11,0,6,-10,-38,-41,-21,-11,-1,-2,15,-15,-22,-11,-4,3,-5,11,-49,-31,-23,-53,-52,-24,-8,-39,-2,-36,13,-24,-21,-6,-16,4,-63,-35,-15,-23,51,-51,-2,-22,17,-25,-10,10,13,-7,-6,-10,0,-4,-17,-20,-17,-16,-25,-37,-31,-20,-5
12/08/2009,16,15,0.28125,-18,-17,3,27,18,23,12,-14,-19,-3,1,11,10,27,-5,-13,-5,-4,2,-7,8,-51,-21,-8,-45,-43,-10,2,-24,13,-8,25,-7,-1,10,2,23,-43,-32,-14,-42,8,-40,19,-13,3,-28,-14,2,-3,-22,-26,-33,-26,-30,-29,-33,-41,-36,-39,-53,-46,-38,-7
12/08/2009,16,15,0.2875,-16,-10,10,30,23,23,11,-23,-9,-8,-13,-6,-6,-1,-5,-13,-15,-20,-16,-27,-17,-40,-20,-1,-31,-30,-5,8,-28,24,2,30,-4,3,15,6,33,-32,-22,-10,-20,16,-22,14,-4,-10,-13,-5,7,-1,-25,-28,-33,-30,-36,-18,-22,-38,-36,-42,-55,-52,-46,3
12/08/2009,16,15,0.29375,-3,1,18,36,32,37,25,1,8,7,1,16,11,25,20,11,3,-1,5,-3,3,-40,-15,-1,-22,-21,10,20,-1,33,6,52,18,24,35,27,46,-16,0,13,14,60,-26,2,8,-5,17,27,42,26,3,2,0,-5,-17,11,6,-12,-15,-30,-35,-39,-41,19
12/08/2009,16,15,0.3,30,41,59,67,62,68,51,52,48,37,29,43,42,53,51,36,27,20,33,23,23,-9,8,23,-1,0,34,42,23,50,30,68,41,42,52,46,58,-21,15,12,-11,3,-20,8,-18,1,-18,7,31,16,-4,-3,-2,-5,-13,-11,-17,-29,-24,-39,-25,-33,-42,15
12/08/2009,16,15,0.30625,22,29,44,42,33,40,22,11,23,13,3,6,15,10,-7,-5,-5,-10,5,-2,-4,-18,-14,-2,-28,-25,10,18,-5,18,16,43,17,13,23,15,26,-58,-15,-17,-37,-16,-30,-2,-33,25,-36,-21,5,-5,-23,-22,-18,-11,-11,-25,-33,-44,-36,-43,-35,-42,-51,4
12/08/2009,16,15,0.3125,0,13,30,31,27,30,8,-9,12,10,7,12,13,17,-4,-8,-6,-4,5,-2,8,-33,-21,-6,-20,-22,6,14,-10,28,23,46,17,19,29,22,28,-51,-11,-8,-23,31,-43,-9,-21,19,-28,-11,11,0,-23,-25,-20,-15,-22,-27,-34,-46,-43,-58,-51,-51,-60,-5
12/08/2009,16,15,0.31875,10,23,41,47,48,50,20,6,26,17,16,19,17,22,12,1,2,1,7,-3,2,-15,-8,8,-2,-4,16,21,-11,45,40,53,30,30,43,32,34,-45,11,-16,0,4,-18,-9,-13,-8,-26,-5,20,10,-14,-20,-19,-22,-33,-23,-24,-32,-39,-59,-55,-51,-60,-10
12/08/2009,16,15,0.325,34,39,52,56,55,52,15,22,40,34,31,39,25,18,18,23,25,22,26,14,10,8,-3,6,23,22,33,28,-5,61,66,69,51,46,51,42,39,-34,37,-15,16,2,7,-7,7,14,-1,22,53,43,18,9,6,1,-12,1,2,2,-17,-37,-34,-25,-42,16
